utt_id,wav_path,label,split,attack
LA_T_4546214,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_4546214.flac,1,train,A03
LA_T_7996265,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_7996265.flac,1,train,A05
LA_T_8654673,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_8654673.flac,1,train,A02
LA_T_5525305,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_5525305.flac,0,train,
LA_T_2496422,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_2496422.flac,1,train,A03
LA_T_3478545,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_3478545.flac,1,train,A02
LA_T_1680133,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_1680133.flac,1,train,A05
LA_T_9951511,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_9951511.flac,0,train,
LA_T_5005060,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_5005060.flac,1,train,A02
LA_T_6966137,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_6966137.flac,1,train,A02
LA_T_7628906,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_7628906.flac,1,train,A01
LA_T_7519722,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_7519722.flac,1,train,A02
LA_T_6979533,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_6979533.flac,0,train,
LA_T_7686633,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_7686633.flac,0,train,
LA_T_6181183,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_6181183.flac,0,train,
LA_T_9985180,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_9985180.flac,0,train,
LA_T_5855384,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_5855384.flac,0,train,
LA_T_4822766,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_4822766.flac,0,train,
LA_T_2189446,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_2189446.flac,0,train,
LA_T_9369650,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_9369650.flac,0,train,
LA_T_8135846,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_8135846.flac,0,train,
LA_T_6809157,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_6809157.flac,1,train,A06
LA_T_8402523,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_8402523.flac,1,train,A05
LA_T_3236538,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_3236538.flac,1,train,A05
LA_T_4428691,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_4428691.flac,0,train,
LA_T_9266357,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_9266357.flac,0,train,
LA_T_4565832,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_4565832.flac,0,train,
LA_T_1152870,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_1152870.flac,1,train,A06
LA_T_8888346,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_8888346.flac,1,train,A05
LA_T_5043225,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_5043225.flac,0,train,
LA_T_3323678,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_3323678.flac,1,train,A04
LA_T_8455678,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_8455678.flac,0,train,
LA_T_2099563,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_2099563.flac,1,train,A01
LA_T_1171310,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_1171310.flac,1,train,A01
LA_T_7230726,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_7230726.flac,0,train,
LA_T_6884828,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_6884828.flac,1,train,A04
LA_T_1829959,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_1829959.flac,0,train,
LA_T_9323726,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_9323726.flac,0,train,
LA_T_8583125,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_8583125.flac,0,train,
LA_T_5657926,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_5657926.flac,0,train,
LA_T_1561484,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_1561484.flac,0,train,
LA_T_7746470,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_7746470.flac,0,train,
LA_T_1944794,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_1944794.flac,1,train,A06
LA_T_4315523,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_4315523.flac,1,train,A04
LA_T_9134094,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_9134094.flac,1,train,A01
LA_T_7159372,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_7159372.flac,1,train,A04
LA_T_7648440,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_7648440.flac,0,train,
LA_T_8927053,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_8927053.flac,1,train,A05
LA_T_1699801,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_1699801.flac,0,train,
LA_T_4244329,/Users/seecsy/main/data/LA/ASVspoof2019_LA_train/flac/LA_T_4244329.flac,0,train,
